t=2026-04-08T13:31:57+0700 lvl=info msg="no configuration paths supplied"
t=2026-04-08T13:31:57+0700 lvl=info msg="using configuration at default config path" path=/home/illicit_comms/.config/ngrok/ngrok.yml
t=2026-04-08T13:31:57+0700 lvl=info msg="open config file" path=/home/illicit_comms/.config/ngrok/ngrok.yml err=nil
t=2026-04-08T13:31:57+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T13:31:57+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T13:31:58+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T13:31:58+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T16:57:40+0700 lvl=info msg="join connections" obj=join id=742aa455b50d l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:57:50+0700 lvl=info msg="join connections" obj=join id=76d949dd334d l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:58:00+0700 lvl=info msg="join connections" obj=join id=fd96246c1d1d l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T16:58:10+0700 lvl=info msg="join connections" obj=join id=4925e01dcbe2 l=[::1]:3000 r=203.80.164.89:4257
t=2026-04-08T17:04:00+0700 lvl=info msg="join connections" obj=join id=2ce9a347c256 l=[::1]:3000 r=203.80.164.89:3425
t=2026-04-08T17:08:32+0700 lvl=info msg="join connections" obj=join id=72d773739834 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:33+0700 lvl=info msg="join connections" obj=join id=afd89fc596bb l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:33+0700 lvl=info msg="join connections" obj=join id=90d82cb17e42 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:33+0700 lvl=info msg="join connections" obj=join id=9826cf1da394 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:34+0700 lvl=info msg="join connections" obj=join id=51a17f3b24ca l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:34+0700 lvl=info msg="join connections" obj=join id=71a2c0ad5cec l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:36+0700 lvl=info msg="join connections" obj=join id=1d57bd6c7fcc l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:40+0700 lvl=info msg="join connections" obj=join id=642b180cd370 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:08:41+0700 lvl=info msg="join connections" obj=join id=7b44ba2302f1 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:09:07+0700 lvl=info msg="join connections" obj=join id=c4888de2bb76 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:09:07+0700 lvl=info msg="join connections" obj=join id=084b28da9124 l=[::1]:3000 r=203.80.164.89:3777
t=2026-04-08T17:09:17+0700 lvl=info msg="join connections" obj=join id=215e393a458d l=[::1]:3000 r=203.80.164.89:3777
